name,longitude,latitude,presence
Mus virtualis,-1038723,1432221.9078742012,1
Mus virtualis,-1098723,1462221.907874201,1
Mus virtualis,-1058723,1257221.9078742024,1
Mus virtualis,-1123723,1452221.9078742012,1
Mus virtualis,-858723,1527221.9078742007,1
Mus virtualis,-1018723,1522221.9078742007,1
Mus virtualis,-1143723,1407221.9078742014,1
Mus virtualis,-693723,1557221.9078742005,1
Mus virtualis,-803723,1467221.907874201,1
Mus virtualis,-998723,1477221.907874201,1
Mus virtualis,-998723,1562221.9078742005,0
Mus virtualis,-1038723,1602221.9078742003,1
Mus virtualis,-1118723,1282221.9078742021,1
Mus virtualis,-1098723,1397221.9078742014,1
Mus virtualis,-1063723,1357221.9078742017,1
Mus virtualis,-1103723,1467221.907874201,1
Mus virtualis,-933723,1517221.9078742007,0
Mus virtualis,-1013723,1562221.9078742005,1
Mus virtualis,-1168723,1507221.9078742007,1
Mus virtualis,-1033723,1537221.9078742005,1
Mus virtualis,-1088723,1352221.9078742017,0
Mus virtualis,-733723,1497221.907874201,1
Mus virtualis,-1138723,1417221.9078742014,1
Mus virtualis,-763723,1487221.907874201,1
Mus virtualis,-1143723,1547221.9078742005,0
Mus virtualis,-1178723,1487221.907874201,1
Mus virtualis,-1138723,1372221.9078742017,1
Mus virtualis,-1063723,1352221.9078742017,1
Mus virtualis,-993723,1542221.9078742005,1
Mus virtualis,-1108723,1317221.907874202,1
Mus virtualis,-1168723,1482221.907874201,0
Mus virtualis,-1008723,1537221.9078742005,1
Mus virtualis,-1048723,1622221.9078742,1
Mus virtualis,-1168723,1547221.9078742005,1
Mus virtualis,-773723,1472221.907874201,0
Mus virtualis,-993723,1477221.907874201,1
Mus virtualis,-1103723,1297221.9078742021,1
Mus virtualis,-1113723,1432221.9078742012,1
Mus virtualis,-1108723,1467221.907874201,1
Mus virtualis,-1083723,1247221.9078742024,1
Mus virtualis,-978723,1472221.907874201,0
Mus virtualis,-1153723,1497221.907874201,1
Mus virtualis,-1008723,1607221.9078742003,0
Mus virtualis,-1073723,1347221.907874202,1
Mus virtualis,-1108723,1257221.9078742024,1
Mus virtualis,-878723,1527221.9078742007,1
Mus virtualis,-1053723,1367221.9078742017,1
Mus virtualis,-733723,1547221.9078742005,1
Mus virtualis,-1148723,1317221.907874202,1
Mus virtualis,-938723,1457221.9078742012,1
Mus virtualis,-1098723,1222221.9078742026,0
Mus virtualis,-813723,1432221.9078742012,1
Mus virtualis,-1103723,1362221.9078742017,1
Mus virtualis,-1123723,1277221.9078742021,1
Mus virtualis,-1088723,1247221.9078742024,1
Mus virtualis,-1088723,1232221.9078742024,1
Mus virtualis,-993723,1557221.9078742005,1
Mus virtualis,-783723,1507221.9078742007,1
Mus virtualis,-753723,1567221.9078742005,1
Mus virtualis,-883723,1507221.9078742007,1
Mus virtualis,-1143723,1317221.907874202,0
Mus virtualis,-1163723,1292221.9078742021,1
Mus virtualis,-718723,1552221.9078742005,1
Mus virtualis,-1018723,1572221.9078742005,1
Mus virtualis,-1108723,1237221.9078742024,1
Mus virtualis,-1068723,1457221.9078742012,1
Mus virtualis,-723723,1557221.9078742005,0
Mus virtualis,-1133723,1442221.9078742012,1
Mus virtualis,-738723,1567221.9078742005,1
Mus virtualis,-1118723,1237221.9078742024,1
Mus virtualis,-803723,1437221.9078742012,1
Mus virtualis,-1118723,1377221.9078742017,1
Mus virtualis,-1073723,1622221.9078742,1
Mus virtualis,-758723,1617221.9078742,1
Mus virtualis,-1183723,1472221.907874201,1
Mus virtualis,-1118723,1432221.9078742012,1
Mus virtualis,-1108723,1382221.9078742017,1
Mus virtualis,-743723,1512221.9078742007,1
Mus virtualis,-733723,1517221.9078742007,1
Mus virtualis,-1028723,1447221.9078742012,1
Mus virtualis,-808723,1457221.9078742012,1
Mus virtualis,-1098723,1377221.9078742017,1
Mus virtualis,-798723,1492221.907874201,1
Mus virtualis,-1138723,1267221.9078742024,1
Mus virtualis,-1013723,1517221.9078742007,0
Mus virtualis,-1163723,1602221.9078742003,1
Mus virtualis,-1173723,1507221.9078742007,1
Mus virtualis,-1153723,1437221.9078742012,1
Mus virtualis,-758723,1532221.9078742007,1
Mus virtualis,-1128723,1287221.9078742021,1
Mus virtualis,-863723,1217221.9078742026,1
Mus virtualis,-1103723,1352221.9078742017,1
Mus virtualis,-1163723,1482221.907874201,1
Mus virtualis,-1018723,1532221.9078742007,1
Mus virtualis,-1113723,1237221.9078742024,1
Mus virtualis,-1168723,1532221.9078742007,1
Mus virtualis,-1143723,1502221.9078742007,1
Mus virtualis,-1118723,1467221.907874201,1
Mus virtualis,-813723,1437221.9078742012,1
Mus virtualis,-1158723,1492221.907874201,1
Mus virtualis,-1048723,1242221.9078742024,0
Mus virtualis,-1083723,1392221.9078742014,1
Mus virtualis,-1078723,1337221.907874202,1
Mus virtualis,-1068723,1437221.9078742012,1
Mus virtualis,-1163723,1432221.9078742012,0
Mus virtualis,-893723,1507221.9078742007,1
Mus virtualis,-1153723,1262221.9078742024,1
Mus virtualis,-1083723,1342221.907874202,1
Mus virtualis,-1053723,1617221.9078742,1
Mus virtualis,-713723,1552221.9078742005,1
Mus virtualis,-1098723,1337221.907874202,1
Mus virtualis,-983723,1542221.9078742005,0
Mus virtualis,-1123723,1317221.907874202,1
Mus virtualis,-713723,1517221.9078742007,0
Mus virtualis,-988723,1512221.9078742007,1
Mus virtualis,-698723,1532221.9078742007,1
Mus virtualis,-1188723,1477221.907874201,0
Mus virtualis,-878723,1382221.9078742017,1
Mus virtualis,-888723,1432221.9078742012,1
Mus virtualis,-1068723,1342221.907874202,1
Mus virtualis,-793723,1462221.907874201,1
